epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,828.859,1.92319,7.75983,1.45117,0.40023,0.26628,0.23609,0.09636,0.85606,144.673,0.63293,0.000663755,0.000663755,0.000663755
2,1690.88,2.09501,5.31744,1.59696,0.45349,0.37337,0.34028,0.14292,0.81187,48.8987,0.6608,0.00131725,0.00131725,0.00131725
3,2514.47,2.11617,4.74145,1.6284,0.44568,0.37482,0.34382,0.1467,0.84415,57.4242,0.69282,0.00195755,0.00195755,0.00195755
4,3331.84,2.03877,4.3425,1.57373,0.42958,0.38495,0.35864,0.13627,0.83521,17.4525,0.65035,0.0019406,0.0019406,0.0019406
5,4142.87,2.00995,4.14827,1.55604,0.45841,0.39687,0.38299,0.14947,0.80631,51.6366,0.63838,0.0019208,0.0019208,0.0019208
6,4956.75,1.94255,4.04089,1.51698,0.50007,0.47337,0.46578,0.2044,0.75954,20.3669,0.62181,0.001901,0.001901,0.001901
7,5769.6,1.90048,3.81203,1.47418,0.51393,0.41314,0.41041,0.20449,0.72819,18.4945,0.59391,0.0018812,0.0018812,0.0018812
8,6585.89,1.86755,3.72976,1.45473,0.54148,0.4631,0.47938,0.22857,0.74439,53.5699,0.6103,0.0018614,0.0018614,0.0018614
9,7397.83,1.83111,3.5841,1.43977,0.47759,0.37771,0.37831,0.17913,0.78049,6.83182,0.62977,0.0018416,0.0018416,0.0018416
10,8211.42,1.81947,3.61151,1.47672,0.59819,0.4631,0.48612,0.22863,0.727,19.1355,0.59641,0.0018218,0.0018218,0.0018218
11,9023.8,1.83394,3.55044,1.44522,0.6436,0.49638,0.5568,0.2551,0.71413,21.1273,0.58159,0.001802,0.001802,0.001802
12,9837.12,1.7986,3.42017,1.4349,0.6347,0.46889,0.51625,0.23385,0.72915,11.5788,0.58667,0.0017822,0.0017822,0.0017822
13,10649.1,1.803,3.55585,1.41783,0.56748,0.43861,0.46552,0.20165,0.77462,26.4081,0.60308,0.0017624,0.0017624,0.0017624
14,11463.2,1.78283,3.46558,1.41632,0.57922,0.49603,0.53654,0.25995,0.67627,9.85236,0.56151,0.0017426,0.0017426,0.0017426
15,12276.3,1.68841,3.28233,1.36016,0.68857,0.4877,0.56256,0.27762,0.66775,16.3532,0.56475,0.0017228,0.0017228,0.0017228
16,13086.7,1.72811,3.26489,1.38994,0.62083,0.45732,0.50481,0.25752,0.68567,8.24296,0.57779,0.001703,0.001703,0.001703
17,13899.9,1.71266,3.35035,1.37925,0.6493,0.48046,0.53935,0.26742,0.70208,15.5523,0.58781,0.0016832,0.0016832,0.0016832
18,14705.6,1.68336,3.17796,1.35816,0.63936,0.51085,0.58728,0.31642,0.63469,21.5602,0.53053,0.0016634,0.0016634,0.0016634
19,15512.6,1.66637,3.1172,1.32127,0.63157,0.54825,0.60627,0.3164,0.63478,16.8791,0.5415,0.0016436,0.0016436,0.0016436
20,16315.2,1.63831,3.08613,1.32466,0.68132,0.57019,0.65587,0.34356,0.63068,18.692,0.52998,0.0016238,0.0016238,0.0016238
21,17119.9,1.69077,3.1272,1.35525,0.60852,0.54662,0.58802,0.27737,0.69432,9.08043,0.55676,0.001604,0.001604,0.001604
22,17945.3,1.65083,3.10317,1.32033,0.66777,0.55559,0.62637,0.3243,0.62738,31.5035,0.53237,0.0015842,0.0015842,0.0015842
23,18760.4,1.6526,3.04148,1.30394,0.61917,0.55528,0.59714,0.29923,0.64477,10.2264,0.52363,0.0015644,0.0015644,0.0015644
24,19563.2,1.65085,3.03876,1.32008,0.64033,0.55572,0.60712,0.31807,0.64313,10.174,0.53785,0.0015446,0.0015446,0.0015446
25,20364.3,1.63391,3.00404,1.3005,0.66024,0.60347,0.65907,0.34203,0.62252,33.9016,0.52951,0.0015248,0.0015248,0.0015248
26,21164.6,1.63457,3.01673,1.29881,0.65265,0.56295,0.61782,0.33561,0.63496,8.25106,0.52642,0.001505,0.001505,0.001505
27,21968.1,1.60012,2.91326,1.31592,0.69231,0.61867,0.68211,0.37184,0.61167,24.2256,0.52231,0.0014852,0.0014852,0.0014852
28,22780.4,1.62759,2.89692,1.30918,0.63807,0.63097,0.66339,0.3388,0.64548,8.67115,0.53155,0.0014654,0.0014654,0.0014654
29,23593.5,1.61614,2.94027,1.31511,0.66399,0.53546,0.61039,0.33014,0.62346,6.73758,0.51732,0.0014456,0.0014456,0.0014456
30,24404.7,1.59211,2.90289,1.29744,0.66312,0.6381,0.68953,0.37685,0.60369,14.1444,0.5046,0.0014258,0.0014258,0.0014258
31,25249,1.58485,2.7905,1.28559,0.71349,0.6165,0.70152,0.39406,0.59159,8.30482,0.50975,0.001406,0.001406,0.001406
32,26194.4,1.56736,2.77443,1.28415,0.71965,0.61216,0.70009,0.37457,0.60452,21.6289,0.50479,0.0013862,0.0013862,0.0013862
33,27149.7,1.5554,2.81723,1.27408,0.70407,0.60253,0.68744,0.37787,0.60634,7.69535,0.51366,0.0013664,0.0013664,0.0013664
34,27939.6,1.60157,2.79491,1.27676,0.66746,0.61581,0.66997,0.35365,0.61724,32.2613,0.522,0.0013466,0.0013466,0.0013466
35,28775,1.55298,2.70839,1.26829,0.69414,0.59334,0.68314,0.36844,0.59343,8.25554,0.50169,0.0013268,0.0013268,0.0013268
36,29586.5,1.58411,2.76618,1.27857,0.6328,0.62808,0.65323,0.36482,0.59033,29.0601,0.50276,0.001307,0.001307,0.001307
37,30391.4,1.56512,2.72867,1.26847,0.72707,0.62084,0.71111,0.39726,0.5879,13.3974,0.49448,0.0012872,0.0012872,0.0012872
38,31192.1,1.56809,2.71854,1.26932,0.7377,0.59045,0.69928,0.37799,0.6001,14.8559,0.50363,0.0012674,0.0012674,0.0012674
39,32005.3,1.51189,2.6967,1.26077,0.70794,0.62373,0.69631,0.39603,0.57381,10.0232,0.49498,0.0012476,0.0012476,0.0012476
40,32844.2,1.54949,2.66888,1.25612,0.69887,0.67583,0.73672,0.42465,0.55517,18.885,0.4862,0.0012278,0.0012278,0.0012278
41,33784.2,1.53319,2.63886,1.25332,0.71597,0.61287,0.7001,0.38381,0.57759,8.65824,0.49216,0.001208,0.001208,0.001208
42,34743.2,1.49928,2.58706,1.24936,0.74336,0.6686,0.75584,0.4292,0.56366,9.83049,0.48631,0.0011882,0.0011882,0.0011882
43,35968.3,1.54074,2.64471,1.2577,0.74034,0.64255,0.73227,0.4016,0.57772,23.9018,0.49781,0.0011684,0.0011684,0.0011684
44,36865.4,1.5417,2.59275,1.23784,0.71783,0.64834,0.72461,0.40174,0.57643,6.12265,0.49052,0.0011486,0.0011486,0.0011486
45,37672.5,1.52527,2.63944,1.25011,0.73827,0.68741,0.75792,0.42708,0.55543,8.39545,0.48153,0.0011288,0.0011288,0.0011288
46,38571,1.50995,2.58686,1.24207,0.71068,0.66281,0.72254,0.40202,0.57322,12.0995,0.48415,0.001109,0.001109,0.001109
47,39504.5,1.49066,2.51425,1.2251,0.71433,0.68032,0.74689,0.42562,0.57041,8.91515,0.48828,0.0010892,0.0010892,0.0010892
48,40395.2,1.47327,2.58906,1.24146,0.72193,0.70767,0.76439,0.44205,0.56296,15.1335,0.48415,0.0010694,0.0010694,0.0010694
49,41178.1,1.51245,2.56183,1.24154,0.73017,0.68162,0.75687,0.42859,0.56436,7.91481,0.4828,0.0010496,0.0010496,0.0010496
50,41969.3,1.49078,2.54208,1.23323,0.74916,0.63242,0.73276,0.429,0.56236,10.5774,0.48339,0.0010298,0.0010298,0.0010298
51,42764.4,1.48119,2.48744,1.22591,0.75748,0.70188,0.77956,0.45459,0.55914,14.6858,0.48421,0.00101,0.00101,0.00101
52,43557.8,1.47177,2.48186,1.22926,0.72947,0.69465,0.78112,0.44957,0.553,7.91269,0.47828,0.0009902,0.0009902,0.0009902
53,44353.1,1.46138,2.48993,1.22171,0.76844,0.70117,0.77521,0.46241,0.54007,15.5987,0.47578,0.0009704,0.0009704,0.0009704
54,45143.9,1.44801,2.41927,1.20987,0.71822,0.71201,0.76583,0.43717,0.55384,10.7681,0.47779,0.0009506,0.0009506,0.0009506
55,45937.3,1.46454,2.42481,1.22005,0.75816,0.70321,0.78954,0.47363,0.53743,11.2107,0.46776,0.0009308,0.0009308,0.0009308
56,46732.1,1.46402,2.35374,1.21342,0.75506,0.74385,0.79817,0.46571,0.54142,11.1568,0.46917,0.000911,0.000911,0.000911
57,47525.4,1.44009,2.41804,1.20136,0.7786,0.66671,0.77371,0.46219,0.53413,5.2704,0.46925,0.0008912,0.0008912,0.0008912
58,48316.6,1.44569,2.36188,1.20387,0.78048,0.69977,0.78552,0.46097,0.54751,8.40684,0.47942,0.0008714,0.0008714,0.0008714
59,49118.4,1.43392,2.33337,1.18741,0.77524,0.73951,0.81382,0.49231,0.52036,11.5351,0.46339,0.0008516,0.0008516,0.0008516
60,49914.7,1.44534,2.39529,1.19905,0.78364,0.71056,0.80621,0.48803,0.52809,12.2881,0.46445,0.0008318,0.0008318,0.0008318
61,50712.5,1.44058,2.31648,1.19361,0.79365,0.72793,0.81156,0.48962,0.53371,12.4185,0.47074,0.000812,0.000812,0.000812
62,51511.7,1.41121,2.28893,1.19405,0.77196,0.72648,0.80442,0.48524,0.52627,14.7437,0.4652,0.0007922,0.0007922,0.0007922
63,52305.5,1.45553,2.32368,1.20656,0.77834,0.75209,0.82242,0.49392,0.52416,13.0605,0.46395,0.0007724,0.0007724,0.0007724
64,53098.2,1.41031,2.26904,1.18593,0.75808,0.76122,0.81686,0.4911,0.5287,11.5789,0.46267,0.0007526,0.0007526,0.0007526
65,53896.2,1.41294,2.24834,1.18514,0.80349,0.73372,0.83158,0.50927,0.52318,11.5201,0.4621,0.0007328,0.0007328,0.0007328
66,54691.8,1.40192,2.25151,1.17502,0.82098,0.70333,0.82514,0.50116,0.5165,14.9813,0.45979,0.000713,0.000713,0.000713
67,55484.4,1.40133,2.25797,1.17594,0.81552,0.70767,0.81804,0.48444,0.53233,11.831,0.46279,0.0006932,0.0006932,0.0006932
68,56275.7,1.38129,2.19126,1.16608,0.79711,0.74674,0.83441,0.51114,0.50925,8.77989,0.45984,0.0006734,0.0006734,0.0006734
69,57063.7,1.3652,2.14963,1.16512,0.79846,0.74819,0.83152,0.51839,0.51118,12.7865,0.45684,0.0006536,0.0006536,0.0006536
70,57846.4,1.38848,2.16626,1.17566,0.79994,0.77542,0.84213,0.51229,0.51617,10.7895,0.45795,0.0006338,0.0006338,0.0006338
71,58627.6,1.40455,2.13155,1.16554,0.80354,0.76556,0.83608,0.51365,0.50868,15.0595,0.45643,0.000614,0.000614,0.000614
72,59409,1.38675,2.14085,1.15364,0.77198,0.77413,0.82161,0.50719,0.51376,10.6865,0.45874,0.0005942,0.0005942,0.0005942
73,60190.5,1.3688,2.10832,1.15353,0.8186,0.75103,0.84574,0.52589,0.5073,9.47488,0.44904,0.0005744,0.0005744,0.0005744
74,60973,1.359,2.09261,1.13368,0.77626,0.7974,0.84496,0.52597,0.50713,8.62212,0.44954,0.0005546,0.0005546,0.0005546
75,61754.9,1.35784,2.12053,1.14149,0.74464,0.7976,0.83414,0.51107,0.51523,8.79031,0.45346,0.0005348,0.0005348,0.0005348
76,62543.2,1.35996,2.08207,1.14993,0.81276,0.78003,0.85446,0.53817,0.50274,9.39017,0.44755,0.000515,0.000515,0.000515
77,63327.5,1.34069,2.08333,1.14247,0.82155,0.73517,0.84495,0.52731,0.5069,9.652,0.44918,0.0004952,0.0004952,0.0004952
78,64115.1,1.391,2.10524,1.15563,0.82152,0.7727,0.85285,0.53532,0.51037,10.1469,0.45227,0.0004754,0.0004754,0.0004754
79,64903.5,1.3374,2.02715,1.14001,0.79282,0.78437,0.85015,0.54254,0.49173,10.6919,0.44456,0.0004556,0.0004556,0.0004556
80,65695.9,1.34101,2.00242,1.13396,0.80697,0.78047,0.85543,0.54008,0.49618,7.72425,0.44374,0.0004358,0.0004358,0.0004358
81,66484.9,1.32113,1.99598,1.12819,0.77131,0.82,0.8468,0.53204,0.50095,10.0366,0.444,0.000416,0.000416,0.000416
82,67273.6,1.36471,2.01283,1.14355,0.80774,0.77569,0.85799,0.54064,0.49602,8.52621,0.44111,0.0003962,0.0003962,0.0003962
83,68061.7,1.33561,2.04089,1.1416,0.79024,0.79595,0.85766,0.54141,0.50402,7.09062,0.44873,0.0003764,0.0003764,0.0003764
84,68850.3,1.31993,1.95378,1.12786,0.81232,0.78437,0.86186,0.53641,0.50756,7.53188,0.45097,0.0003566,0.0003566,0.0003566
85,69641.8,1.33053,2.01628,1.14895,0.78046,0.79305,0.85641,0.53639,0.50152,7.68674,0.44594,0.0003368,0.0003368,0.0003368
86,70432.3,1.32709,1.93852,1.1352,0.80398,0.80726,0.86524,0.54797,0.49121,7.797,0.44217,0.000317,0.000317,0.000317
87,71301.6,1.29621,1.92155,1.10623,0.83746,0.78292,0.85953,0.55085,0.49306,10.2021,0.43995,0.0002972,0.0002972,0.0002972
88,72266.3,1.31641,1.93705,1.11724,0.84067,0.79016,0.86709,0.545,0.49911,8.66315,0.44545,0.0002774,0.0002774,0.0002774
89,73199.3,1.32537,1.90858,1.12309,0.83196,0.7945,0.87135,0.55003,0.49457,8.83052,0.43941,0.0002576,0.0002576,0.0002576
90,74006,1.31256,1.94605,1.13332,0.85556,0.77279,0.86815,0.55733,0.48766,8.47312,0.43843,0.0002378,0.0002378,0.0002378
91,74797.5,1.23574,1.67372,1.09571,0.87277,0.77713,0.87608,0.55635,0.48885,7.34649,0.44032,0.000218,0.000218,0.000218
92,75589.1,1.22728,1.6079,1.09042,0.86041,0.79393,0.87875,0.55755,0.48864,5.99738,0.4392,0.0001982,0.0001982,0.0001982
93,76385.9,1.23217,1.60544,1.10263,0.87094,0.78726,0.88153,0.56521,0.48569,7.18834,0.43781,0.0001784,0.0001784,0.0001784
94,77309.9,1.21383,1.52229,1.09576,0.85712,0.79305,0.88604,0.56766,0.48723,6.42677,0.43688,0.0001586,0.0001586,0.0001586
95,78233.9,1.21517,1.55502,1.09694,0.85669,0.78726,0.8827,0.57095,0.48267,5.66623,0.43537,0.0001388,0.0001388,0.0001388
96,79036.7,1.20275,1.53095,1.08951,0.85223,0.79161,0.88557,0.5704,0.48394,5.74917,0.43551,0.000119,0.000119,0.000119
97,79840.2,1.20167,1.4696,1.07467,0.86094,0.7945,0.88426,0.5713,0.48279,5.11641,0.4353,9.92e-05,9.92e-05,9.92e-05
98,80673.2,1.16939,1.55928,1.06829,0.85955,0.79305,0.88355,0.57472,0.4759,5.63205,0.43165,7.94e-05,7.94e-05,7.94e-05
99,81474.2,1.19756,1.46376,1.08221,0.87278,0.78726,0.88795,0.57497,0.47887,5.24913,0.43225,5.96e-05,5.96e-05,5.96e-05
100,82268.4,1.18431,1.48743,1.07725,0.89216,0.76627,0.88704,0.57469,0.48018,6.0805,0.43313,3.98e-05,3.98e-05,3.98e-05
